"probA","probB","probC","payoffA","payoffB","payoffC","payoffprior_mean","payoffprior_sd","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.414199694991112,0.706260388018563,0.186425785068423,102.979902885937,108.178090005565,103.446377209599,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,34.269127516461,75.6884308305645,22.5252596847764,"<",">",">","<","=",">"
0.899946478428319,0.584392881486565,0.0289443440269679,108.884316068414,102.833022490902,100.078597270023,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,1,102.611212940635,52.280321309504,6.2083046230258,">",">",">",">",">",">"
0.350838631391525,0.51800099760294,0.486298264935613,100.845133871092,105.825134195138,99.7789800137396,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,29.0017102813296,52.1918073894695,48.1188314395581,"<","<",">","<","=",">"
0.539974089479074,0.611581965349615,0.061680912738666,100.82584509855,106.538111801273,106.441284389608,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,56.5956001901035,72.0695544507989,6.39967707158542,">",">",">","<",">","<"
0.276625066995621,0.611390001839027,0.104579015634954,104.549195756143,95.3598594746283,106.200904190016,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,22.6276263511377,56.99250170096,10.5473585073608,"<",">",">",">","<","<"
0.439016116084531,0.146415246650577,0.774638797156513,92.5890544017439,104.305659362489,97.977400846215,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,3,35.2828107083455,9.36617919701836,73.6089607797007,">","<","<","<","<",">"
0.589945742627606,0.175127147464082,0.679354985244572,96.8122825071489,106.718543130997,100.90767692299,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,3,59.9165820123301,32.9045738877628,69.8467051231081,">","<","<","<","<",">"
0.0980898845009506,0.954299050848931,0.794175039976835,95.6892692795012,100.49421844569,98.1217242790082,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,-0.766301560833799,102.261176893002,87.5128116097909,"<","<",">","<","<",">"
0.2345622908324,0.963862508069724,0.746572641888633,96.8813675563541,99.6018378408092,102.178123814147,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,23.3515145127535,102.981045342979,76.5512051756523,"<","<",">","<","<","<"
0.0243676009122282,0.724665743531659,0.709699555765838,103.479833168506,99.2216801769601,106.744490975989,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,3,0.898649893829436,69.2500093441886,82.313024757719,"<","<",">",">","<","<"
0.857357687084004,0.143562278710306,0.905361641431227,110.31847351126,100.656915053313,98.8415577554253,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,3,91.2709744968599,21.4852166399695,90.1903297221118,">","<","<","=",">",">"
0.654447341104969,0.186885454459116,0.299385381164029,99.1436337851869,100.793384487216,97.5716746691379,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,1,72.1721791124755,23.1497481462055,26.3706273693561,">",">","<","<",">",">"
0.831196964485571,0.428373243426904,0.235228932229802,98.152297609396,101.187691562698,96.6703894379254,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,1,87.2174051531597,44.6803625511378,25.2737519827207,">",">",">","<",">",">"
0.787218579091132,0.520614913199097,0.0990596392657608,98.929251686308,97.126272678493,92.6463647785384,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,1,74.914415508774,48.9772127697242,11.4817552691184,">",">",">",">",">",">"
0.849136841017753,0.904312937986106,0.799055522074923,94.3467315948761,101.843740876415,98.9909848983456,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,73.6325239069843,93.554008086115,79.7920693483042,"<",">",">","<","<",">"
0.899315318092704,0.787568375701085,0.436801966279745,103.073988165717,103.439739811932,99.7647449447188,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,1,87.0296461856718,75.5062672018185,32.7424553960116,">",">",">","=",">",">"
0.00989457336254418,0.718221417861059,0.166402569506317,98.6123218626884,103.42400967991,99.4244324522929,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,-9.72270839171953,72.0972529806828,17.7581555387521,"<","<",">","<","=",">"
0.639257629634812,0.542118221288547,0.482100365916267,91.369133840059,107.778935101553,103.882063458663,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,52.2845428489453,58.5197701156925,51.8242594186755,">",">",">","<","<",">"
0.864008528878912,0.958007657434791,0.334457270102575,103.722823226219,104.326103985072,101.52664405028,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,87.7862833450705,104.159238164819,38.017990050924,"<",">",">","=",">","<"
0.545390140730888,0.335909729124978,0.787480503553525,96.9790137531512,108.575052968755,96.4202586110095,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,3,50.5026662171032,40.7627692888723,70.7600836246042,">","<","<","<","=",">"
0.552996473154053,0.841287892311811,0.0304817454889417,98.3130578398896,104.866351443318,104.939139654317,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,53.1166581348006,86.9834518961695,-4.39359044199321,"<",">",">","<","<","="
0.826713310787454,0.363474988611415,0.723883949220181,88.0887858432773,105.390094868554,103.341225525113,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,1,75.6708939154557,40.4896153830726,74.9057890711366,">",">","<","<","<",">"
0.832633823854849,0.975879390956834,0.720650124829262,104.84638518103,102.761461629693,99.5892224964306,100,5,0,5,0.01,1.1,0.1,TRUE,TRUE,2,83.9262808203867,102.567261789099,74.6612058285121,"<",">","=",">",">",">"
