"X","probA","probB","probC","payoffA","payoffB","payoffC","stimtype","exA","exB","exC","wingap","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20","stimid"
2401,0.62,0.89,0.92,29,17,15,4,17.98,15.13,13.8,2.85,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,3,2,3,3,3,3,3,3,1,2,1,3,2,3,3,2,2,240
257,0.62,0.64,0.87,13,30,19,1,8.06,19.2,16.53,2.67,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,257
2571,0.62,0.64,0.87,13,30,19,1,8.06,19.2,16.53,2.67,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,257
2611,0.35,0.45,0.55,24,12,10,4,8.4,5.4,5.5,2.9,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,261
2612,0.35,0.45,0.55,24,12,10,4,8.4,5.4,5.5,2.9,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,1,3,2,1,2,3,3,3,3,3,3,3,3,3,3,2,2,3,261
262,0.52,0.56,0.57,29,12,18,4,15.08,6.72,10.26,4.82,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,262
2621,0.52,0.56,0.57,29,12,18,4,15.08,6.72,10.26,4.82,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,2,3,3,3,3,3,3,3,2,2,2,3,3,3,2,3,3,3,262
272,0.78,0.82,0.99,28,24,14,4,21.84,19.68,13.86,2.16,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,272
2721,0.78,0.82,0.99,28,24,14,4,21.84,19.68,13.86,2.16,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,2,2,2,2,3,3,3,2,3,3,2,3,3,2,3,3,2,2,2,272
274,0.35,0.36,0.42,10,27,17,1,3.5,9.72,7.14,2.58,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,274
2741,0.35,0.36,0.42,10,27,17,1,3.5,9.72,7.14,2.58,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,274
279,0.5,0.79,0.91,28,12,12,4,14,9.48,10.92,3.08,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,2,1,1,1,1,1,1,3,1,1,1,1,3,1,3,1,1,1,279
2791,0.5,0.79,0.91,28,12,12,4,14,9.48,10.92,3.08,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,2,2,3,3,3,3,3,1,3,3,3,3,3,3,3,279
2811,0.13,0.27,0.68,18,20,10,4,2.34,5.4,6.8,1.4,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,281
2812,0.13,0.27,0.68,18,20,10,4,2.34,5.4,6.8,1.4,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,281
282,0.65,0.67,0.71,23,20,18,4,14.95,13.4,12.78,1.55,"0",1,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,3,282
2821,0.65,0.67,0.71,23,20,18,4,14.95,13.4,12.78,1.55,"1",20,0.01,1.1,0.1,TRUE,TRUE,19.2604166666667,5.8570508684411,3,3,2,3,3,3,2,3,3,3,3,2,2,2,3,2,3,3,3,1,282
