modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,hilo,0.640000,0.900000,0.930000,17.000000,28.000000,22.000000,24.738340,1000000,25.199999,902447,4.739998,0,902447,97553,0,445905.937500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,399,5915,74888,463081,447596,9645,1998452,0
model1.1,X,hilo,0.310000,0.420000,0.290000,20.000000,11.000000,27.000000,7.528325,999954,7.830000,827031,1.742520,160640,12283,827031,0,3727.101318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,8,11,25,44,62,100,137,240,392,686,1044,1676,2596,4149,6276,9848,14538,21727,31938,46110,64869,88061,117041,150642,186811,223229,262405,305567,351957,400109,404092,253487,49141,836,0,0,0
model1.1,X,hilo,0.290000,0.640000,0.860000,12.000000,22.000000,14.000000,13.731937,1000000,14.080000,829302,2.040000,0,829302,170698,0,67057.468750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,19,27,45,73,119,165,261,432,669,943,1344,1987,2868,4022,5576,7731,10581,14330,18813,24700,31657,39855,50248,60820,71716,82171,89850,95144,95158,88445,75160,57129,37338,20003,7881,2338,353,138,5314,142776,957191,894265,331,0
model1.1,X,hilo,0.440000,0.960000,0.012000,23.000000,13.000000,21.000000,12.154947,999708,12.480000,862088,2.360000,137620,862088,0,0,9021.281250,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,13,40,102,206,393,718,1222,2081,2915,4258,5895,7896,10225,13175,16108,19805,23621,27398,31274,34850,38513,42287,44825,47927,49298,50919,51468,50820,50001,48727,46232,43069,39667,35604,31878,27682,23686,19526,15423,12258,9368,6584,4663,2969,1913,1108,594,303,121,58,10,1,2,6,49,491,4348,36726,222959,612292,911096,211447,0,0
model1.1,X,hilo,0.370000,0.630000,0.360000,16.000000,11.000000,27.000000,9.590293,995475,9.720000,951149,2.865062,3290,41036,951149,0,2213.936279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,10,16,21,35,73,146,276,580,1128,2098,4101,7878,14840,27423,49411,87388,145499,227416,321803,396656,394532,322027,388233,494182,100476,172,0,0
model1.1,X,hilo,0.690000,0.150000,0.280000,14.000000,17.000000,21.000000,9.618434,999917,9.660000,992875,3.780000,992875,0,7042,0,5030.751465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,17,25,65,88,127,192,314,492,689,959,1446,2006,2627,3750,4907,6657,8545,10848,13955,17817,22262,26734,32269,38704,44751,52120,58430,64598,69986,72998,75250,74117,71678,66498,61086,57132,57573,65670,87991,121939,163943,192703,181704,132249,127284,335002,477776,91603,149,0,0
model1.1,X,hilo,0.120000,0.410000,0.470000,12.000000,29.000000,16.000000,11.853953,999980,11.890000,995577,4.370000,0,995577,4403,0,8835.841797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,13,23,35,72,127,225,334,554,808,1288,1769,2443,3411,4601,5907,7644,9953,12094,14957,18139,21542,25637,29638,34151,38442,42434,46245,50362,53682,55933,58230,58309,58257,56035,52894,48299,43594,37230,30742,24501,18231,12935,8549,5202,3177,2521,4022,9932,26101,65736,144234,256383,300315,175270,201089,733873,81806,0,0
model1.1,X,hilo,0.160000,0.780000,0.910000,14.000000,24.000000,16.000000,18.469578,1000000,18.719999,941351,4.159999,0,941351,58649,0,116661.609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,14,24,39,78,112,168,249,371,559,811,1187,1649,2271,3034,4212,5475,7303,9223,11784,14794,18311,22237,26934,31833,37201,43167,49254,54526,60034,63842,67517,69261,68826,65505,61077,53793,44960,35887,26566,17258,10408,5183,2145,714,170,27,0,0,0,181,101364,1008844,889611,0
model1.1,X,hilo,0.710000,0.410000,0.430000,10.000000,25.000000,20.000000,9.928829,1000000,10.250000,819218,1.774972,15190,819218,165592,0,22105.251953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,25,40,114,258,692,1593,4065,9960,23854,55445,118545,226890,375493,531979,676673,736376,236787,1198,0,0
model1.1,X,hilo,0.170000,0.400000,0.910000,19.000000,23.000000,14.000000,12.632141,999998,12.740001,971025,3.540001,0,28973,971025,0,20100.919922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,3,8,8,23,26,41,69,129,200,260,434,599,871,1323,1927,2590,3659,5098,6856,9275,12539,16262,20958,26864,33858,41809,50471,60261,69648,78562,85113,89253,88493,82898,72339,56435,40096,23847,11802,5566,8838,38894,160259,404755,389630,703815,293321,2,0
