modelLabel,cond,position,pA,pB,pD,vA,vB,vD,PayoffMean,ChoicesMadeCount,MaxEV,CorrectEV,LossEV,Achoices,Bchoices,Dchoices,HequalCount,EVtableCount,uBinsHist0,uBinsHist1,uBinsHist2,uBinsHist3,uBinsHist4,uBinsHist5,uBinsHist6,uBinsHist7,uBinsHist8,uBinsHist9,uBinsHist10,uBinsHist11,uBinsHist12,uBinsHist13,uBinsHist14,uBinsHist15,uBinsHist16,uBinsHist17,uBinsHist18,uBinsHist19,uBinsHist20,uBinsHist21,uBinsHist22,uBinsHist23,uBinsHist24,uBinsHist25,uBinsHist26,uBinsHist27,uBinsHist28,uBinsHist29,uBinsHist30,uBinsHist31,uBinsHist32,uBinsHist33,uBinsHist34,uBinsHist35,uBinsHist36,uBinsHist37,uBinsHist38,uBinsHist39,uBinsHist40,uBinsHist41,uBinsHist42,uBinsHist43,uBinsHist44,uBinsHist45,uBinsHist46,uBinsHist47,uBinsHist48,uBinsHist49,uBinsHist50,uBinsHist51,uBinsHist52,uBinsHist53,uBinsHist54,uBinsHist55,uBinsHist56,uBinsHist57,uBinsHist58,uBinsHist59,uBinsHist60,uBinsHist61,uBinsHist62,uBinsHist63,uBinsHist64,uBinsHist65,uBinsHist66,uBinsHist67,uBinsHist68,uBinsHist69,uBinsHist70,uBinsHist71,uBinsHist72,uBinsHist73,uBinsHist74,uBinsHist75,uBinsHist76,uBinsHist77,uBinsHist78,uBinsHist79
model1.1,X,hilo,0.640000,0.900000,0.930000,17.000000,28.000000,22.000000,22.334877,997488,25.199999,400322,4.786645,2760,400322,594406,0,85527.671875,0,25645,96821,63077,43531,32735,25939,21427,18052,15707,13954,12251,11084,10271,9486,8929,8063,7834,7290,6959,6523,6315,6078,5960,5851,5578,5400,5206,5163,5057,5022,4921,4798,4848,4858,4729,4862,4737,4713,4729,4865,4757,4798,4856,4927,5127,5146,5242,5320,5376,5596,5874,5841,6063,6431,6777,6874,7138,7720,7955,8693,9103,9645,10601,11305,12685,13859,15359,17552,19860,23146,27616,33419,42332,56072,78375,123969,238210,731902,847675
model1.1,X,hilo,0.310000,0.420000,0.290000,20.000000,11.000000,27.000000,5.753810,991788,7.830000,83937,2.268048,541295,366556,83937,0,25298.226562,0,96023,258998,140854,89753,63795,49048,39008,32588,27962,23875,21350,19190,16992,15438,14489,13474,12405,11703,11276,10784,10147,9534,9178,9033,8711,8252,8036,7838,7891,7638,7401,7240,7166,6966,6957,7014,6979,7060,6966,6824,7012,7040,7001,7224,7210,7329,7538,7438,7705,7644,8143,8375,8436,8802,9174,9657,10266,10377,11017,11641,12156,13095,13946,15080,16464,18177,20098,22367,25170,28985,33923,40890,50059,64525,87602,130332,226162,534934,326534
model1.1,X,hilo,0.290000,0.640000,0.860000,12.000000,22.000000,14.000000,12.680839,993089,14.080000,324430,2.078092,2986,324430,665673,0,44944.769531,0,70620,202959,115285,75103,54055,41611,33750,28517,23746,20972,18515,16808,15102,13728,12868,12005,11059,10456,9833,9265,8893,8499,8376,7962,7673,7566,7152,7064,7017,6877,6724,6685,6610,6513,6532,6484,6319,6426,6314,6363,6394,6448,6333,6427,6584,6799,6850,6842,7243,7313,7673,7766,8045,8331,8556,8902,9309,9788,10320,10741,11476,12398,13224,14320,15680,17049,18996,21451,24083,28014,32919,39770,49310,63546,87390,132613,237193,607444,457421
model1.1,X,hilo,0.440000,0.960000,0.012000,23.000000,13.000000,21.000000,10.166107,993013,12.480000,140025,2.692804,824253,140025,28735,0,33482.050781,0,93916,242252,131607,83837,60161,45944,36706,30549,26109,22363,19891,17933,16144,14629,13717,12706,11764,11061,10435,10022,9535,9158,8684,8436,8044,7877,7873,7619,7284,7196,7084,6901,6823,6658,6599,6513,6614,6667,6685,6486,6716,6506,6725,6619,6906,6928,7280,7157,7249,7321,7817,7946,7961,8445,8662,9010,9593,9967,10647,11149,11799,12620,13581,14567,16016,17483,19287,21766,24447,28154,32690,39749,48584,62945,86556,129011,227726,560464,390508
model1.1,X,hilo,0.370000,0.630000,0.360000,16.000000,11.000000,27.000000,8.295699,920223,9.720000,468829,2.902594,50312,401082,468829,0,4699.702637,0,78033,229410,124901,79116,55784,41971,33259,27415,22973,19981,17518,15297,13833,12426,11473,10599,9996,9148,8691,8140,7680,7111,7014,6750,6449,6311,6057,5879,5798,5563,5417,5471,5392,5209,5166,5257,5196,5062,5125,5031,5050,5239,5358,5262,5373,5363,5603,5620,5801,5892,6134,6345,6517,6720,7127,7409,7795,8205,8534,9145,9798,10804,11246,12337,13854,15102,16896,19161,21809,25515,30114,36461,45776,60130,83284,126906,227092,558594,360396
model1.1,X,hilo,0.690000,0.150000,0.280000,14.000000,17.000000,21.000000,6.318583,991585,9.660000,144373,3.911205,144373,33467,813745,0,27168.531250,0,101030,265484,142169,90939,64446,49018,39374,32487,27608,24289,21133,19067,16959,15560,14282,13391,12524,11651,10703,10494,10024,9366,9295,8935,8661,8328,8178,7879,7533,7444,7428,7205,7190,7044,6917,7053,6919,6750,7049,6843,6980,6970,6947,7065,7261,7308,7437,7450,7647,7771,7998,8292,8448,8844,9165,9438,9948,10343,10907,11614,12195,12938,14041,15193,16475,18018,19844,22065,25169,28946,33773,40335,49577,63586,86903,129509,224374,528814,326518
model1.1,X,hilo,0.120000,0.410000,0.470000,12.000000,29.000000,16.000000,8.942856,991813,11.890000,327235,4.396111,3165,327235,661413,0,34720.164062,0,95379,252425,136278,86451,61890,47644,38183,31713,26573,23060,20511,18152,16547,15246,13814,13034,12296,11473,10627,10275,9574,9249,8858,8660,8378,8107,7838,7672,7459,7256,7154,7042,6960,6821,6712,6529,6734,6511,6599,6668,6680,6607,6863,6827,7206,6963,7143,7429,7507,7478,7716,7972,8405,8650,8879,9368,9848,10021,10620,11248,11720,12829,13626,14695,16147,17896,19584,21991,24654,28525,33505,39774,49221,63395,86896,130752,226581,547959,359907
model1.1,X,hilo,0.160000,0.780000,0.910000,14.000000,24.000000,16.000000,16.029726,994781,18.719999,358904,4.210614,2460,358904,633417,0,56458.726562,0,66218,184236,104261,67518,48935,38113,30879,25760,21880,19090,17122,15329,13998,12575,11765,10763,10409,9672,9051,8661,8414,7923,7767,7437,7147,6908,6915,6583,6351,6359,6196,6164,6143,5989,5834,6066,5916,6036,6071,5935,6044,6081,6052,6033,6454,6245,6409,6683,6723,6879,7092,7126,7492,7618,7973,8208,8806,9192,9540,10250,10697,11500,12555,13503,14566,15998,17789,20130,22752,26651,31329,37147,46817,61093,84397,128660,234051,635173,554246
model1.1,X,hilo,0.710000,0.410000,0.430000,10.000000,25.000000,20.000000,8.195177,993168,10.250000,84379,2.245239,360647,84379,548142,0,30824.136719,0,72592,214718,122805,79720,57091,44209,35441,30008,25304,22237,19664,17439,16039,14662,13379,12505,11709,11084,10565,9976,9418,8881,8671,8443,8156,7917,7624,7425,7379,7289,6989,6857,6795,6818,6699,6576,6708,6720,6828,6786,6588,6629,6811,7004,6808,7141,7177,7315,7317,7643,7721,7988,8428,8593,8803,9288,9571,10218,10661,11203,12068,12799,13843,14663,16387,17880,19891,22241,25155,28898,33868,40945,50482,64947,89347,134787,238892,589050,400328
model1.1,X,hilo,0.170000,0.400000,0.910000,19.000000,23.000000,14.000000,9.511472,992921,12.740001,140616,3.762440,31737,820568,140616,0,33807.656250,0,80316,225734,125064,81051,58095,44694,36235,29847,25469,22046,19618,17691,15747,14786,13276,12627,11635,10872,10418,9666,9358,9091,8499,8396,7932,7838,7643,7475,7298,7079,6822,6913,6951,6795,6600,6898,6631,6591,6634,6467,6699,6469,6745,6843,6912,7018,7186,7210,7254,7526,7695,7921,8271,8428,8749,9174,9514,10122,10656,10917,11847,12863,13586,14623,16135,17435,19528,21795,25000,28535,33232,40039,50318,64020,88039,132052,233926,578814,402869
