"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.13,0.37,0.6,29,24,22,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,4.53283264242815,9.08649130259982,12.9057539199379,"<","<","<",">",">",">"
0.13,0.37,0.6,29,24,22,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,-28.0798677607543,13.3714495973675,-11.2882595755974,"<","<","<",">",">","<"
0.056,0.12,0.25,23,27,14,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,1.17086494449956,2.85217861628066,4.47970856348433,"<","<","<","<",">",">"
0.056,0.12,0.25,23,27,14,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,-8.21509060936478,-11.1638250920196,-1.87101773963458,"<","<","<","<",">",">"
0.0048,0.38,0.53,24,29,23,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,0.747568588105112,12.3422936542972,12.4251179384082,"<","<","<","<","=",">"
0.0048,0.38,0.53,24,29,23,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,1.91889679608574,2.39535035445748,29.6265014047361,"<","<","<","<","<",">"
0.41,0.68,0.82,30,24,16,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,13.3542261483221,14.2514596692689,13.0923075227093,"<","<","<",">",">",">"
0.41,0.68,0.82,30,24,16,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,25.4421656351771,36.8033267081926,-6.63034603205218,"<","<","<",">",">",">"
0.58,0.73,0.13,30,22,21,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,16.0021074966121,16.5778239085986,2.52425159000069,"<",">",">",">",">","="
0.58,0.73,0.13,30,22,21,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,23.4427001373849,8.27823276916022,9.31834362951809,"<",">",">",">",">","="
0.03,0.25,0.73,25,30,17,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,1.40446561291743,7.68054700171519,12.1342186051885,"<","<","<","<",">",">"
0.03,0.25,0.73,25,30,17,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,14.9634782883672,-2.80860502900715,1.54539454663889,"<","<","<","<",">",">"
0.25,0.26,0.47,21,26,18,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,4.72831194174998,7.91134287654267,7.88397361884222,"<","<","<","<",">",">"
0.25,0.26,0.47,21,26,18,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,4.35145119265899,21.6095722566627,7.24189293946523,"<","<",">","<",">",">"
0.019,0.35,0.36,26,29,27,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,0.972363902031845,10.2372412797154,9.71700726793331,"<","<","<","<","=",">"
0.019,0.35,0.36,26,29,27,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,2,-12.9087704577942,1.44690347869836,12.4397213461342,"<","<","<","<","=",">"
0.56,0.4,0.42,23,30,27,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,1,13.2778983871506,10.4383656242478,10.7025236880761,">",">","<","<","<",">"
0.56,0.4,0.42,23,30,27,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,-12.2748546197387,32.1647631482736,22.7143424614025,">",">","<","<","<",">"
0.33,0.47,0.62,27,23,18,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,9.00691446521466,11.1774105792546,11.9487397421136,"<","<","<",">",">",">"
0.33,0.47,0.62,27,23,18,1,15,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,6.03642139700588,10.4194855026192,26.2661862624399,"=","<","<",">",">","="
0.49,0.52,0.76,30,30,26,0,1,0.01,1.1,0.1,TRUE,TRUE,19.6333333333333,6.02029992127147,3,14.715907562435,17.1862502827685,20.0768171004486,"<","<","<","=",">","="
