"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice1","choice2","choice3","choice4","choice5","choice6","choice7","choice8","choice9","choice10","choice11","choice12","choice13","choice14","choice15","choice16","choice17","choice18","choice19","choice20"
0.11,0.81,0.14,16,20,21,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.11,0.81,0.14,16,20,21,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.74,0.56,0.83,25,29,23,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,3,3,2,1,1,3,3,1,1,1,1,3,1,3,1,1,3,3
0.74,0.56,0.83,25,29,23,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,1,2,1,1,3,3,2,2,1,3,1,3,3,1,3,3,3,1,1
0.73,0.56,0.35,24,26,18,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1
0.73,0.56,0.35,24,26,18,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2
0.83,0.83,0.14,22,26,18,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2
0.83,0.83,0.14,22,26,18,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2
0.97,0.75,0.079,16,26,29,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
0.97,0.75,0.079,16,26,29,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,2,3,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2
0.5,0.56,0.88,11,26,13,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,2,2,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
0.5,0.56,0.88,11,26,13,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,3,2,3,2,2,2,3,2,3,2,1,2,3,3,3,3,3,3,3,3
0.19,0.086,0.89,27,21,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,1,3,3,3,3,3,3,3,1,3,3,1,3,3,2,3,3,3
0.19,0.086,0.89,27,21,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1
0.29,0.051,0.5,20,11,11,0,3,0.01,1.1,0.1,TRUE,TRUE,19,8,3,3,1,3,3,3,1,3,3,3,1,1,1,3,1,3,1,1,3,1
0.29,0.051,0.5,20,11,11,1,10,0.01,1.1,0.1,TRUE,TRUE,19,8,1,1,3,3,3,1,1,1,1,3,1,3,1,3,1,1,3,3,1,1
