"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"75","0",39,0.0048,0.53,0.38,24,23,29,"B",0.65,TRUE
"76","0",40,0.59,0.53,0.4,11,23,27,"B",0.85,TRUE
"77","0",41,0.23,0.26,0.25,27,12,27,"B",0.05,TRUE
"78","0",42,0.69,0.17,0.25,17,26,23,"B",0.05,TRUE
"79","0",43,0.37,0.26,0.25,11,17,19,"B",0.3,TRUE
"80","0",46,0.46,0.24,0.26,16,25,24,"B",0.05,TRUE
"81","0",50,0.7,0.84,0.02,29,18,17,"B",0.05,TRUE
"82","1",1,0.94,0.18,0.089,19,22,20,"B",0.25,TRUE
"83","1",4,0.96,0.99,0.43,29,22,12,"B",0.5,TRUE
"84","1",6,0.86,0.16,0.36,13,18,19,"B",0.05,TRUE
"85","1",10,0.62,0.76,0.26,19,13,10,"B",0.65,TRUE
"86","1",11,0.65,0.76,0.07,22,13,28,"B",0.4,TRUE
"87","1",13,0.74,0.85,0.12,26,13,11,"B",0.3,TRUE
"88","1",14,0.09,0.8,0.12,15,11,16,"B",0.45,TRUE
"89","1",17,0.7,0.49,0.92,28,15,16,"B",0,TRUE
"90","1",19,0.7,0.51,0.9,30,17,21,"B",0,TRUE
"91","1",20,0.099,0.78,0.9,13,14,12,"B",0.55,TRUE
"92","1",21,0.8,0.89,0.9,27,12,13,"B",0.1,TRUE
"93","1",23,0.5,0.61,0.19,27,20,20,"B",0.3,TRUE
"94","1",27,0.89,0.54,0.27,15,18,14,"B",0.6,TRUE
"95","1",28,0.32,0.46,0.6,23,17,14,"B",0.6,TRUE
"96","1",30,0.33,0.0086,0.79,17,17,13,"B",0.1,TRUE
"97","1",32,0.94,0.29,0.076,22,28,27,"B",0.25,TRUE
"98","1",33,0.7,0.86,0.61,21,14,25,"B",0.15,TRUE
"99","1",34,0.94,0.28,0.17,13,23,25,"B",0.5,TRUE
"100","1",36,0.42,0.56,0.4,27,23,30,"B",0.45,TRUE
"101","1",38,0.37,0.7,0.4,24,17,23,"B",0.4,TRUE
