"probA","probB","probC","payoffA","payoffB","payoffC","payoffprior_mean","payoffprior_sd"
0.5005005005005,0.5,0.4995004995005,99.9,100,100.1,100,5
0.501223575198278,0.5,0.498782384179796,99.7558823529412,100,100.244117647059,100,5
0.501948742175505,0.5,0.498066330716044,99.6117647058824,100,100.388235294118,100,5
0.502676010526627,0.5,0.497352330241947,99.4676470588235,100,100.532352941176,100,5
0.503405389398875,0.5,0.496640373940987,99.3235294117647,100,100.676470588235,100,5
0.504136887992646,0.5,0.495930453047055,99.1794117647059,100,100.820588235294,100,5
0.504870515561891,0.5,0.495222558844092,99.0352941176471,100,100.964705882353,100,5
0.505606281414508,0.5,0.494516682665736,98.8911764705882,100,101.108823529412,100,5
0.50634419491273,0.5,0.493812815894963,98.7470588235294,100,101.252941176471,100,5
0.507084265473527,0.5,0.493110949963742,98.6029411764706,100,101.397058823529,100,5
0.507826502569005,0.5,0.492411076352682,98.4588235294118,100,101.541176470588,100,5
0.508570915726808,0.5,0.491713186590692,98.3147058823529,100,101.685294117647,100,5
0.509317514530529,0.5,0.491017272254636,98.1705882352941,100,101.829411764706,100,5
0.510066308620121,0.5,0.490323324968994,98.0264705882353,100,101.973529411765,100,5
0.510817307692308,0.5,0.48963133640553,97.8823529411765,100,102.117647058824,100,5
0.511570521501008,0.5,0.488941298282953,97.7382352941176,100,102.261764705882,100,5
0.512325959857754,0.5,0.488253202366592,97.5941176470588,100,102.405882352941,100,5
0.513083632632119,0.5,0.487567040468064,97.45,100,102.55,100,5
0.513843549752146,0.5,0.486882804444954,97.3058823529412,100,102.694117647059,100,5
0.514605721204783,0.5,0.486200486200486,97.1617647058823,100,102.838235294118,100,5
0.515370157036318,0.5,0.485520077683212,97.0176470588235,100,102.982352941176,100,5
0.516136867352825,0.5,0.48484157088669,96.8735294117647,100,103.126470588235,100,5
0.516905862320603,0.5,0.484164957849168,96.7294117647059,100,103.270588235294,100,5
0.517677152166631,0.5,0.483490230653281,96.5852941176471,100,103.414705882353,100,5
0.518450747179018,0.5,0.482817381425731,96.4411764705882,100,103.558823529412,100,5
0.519226657707462,0.5,0.482146402336992,96.2970588235294,100,103.702941176471,100,5
0.52000489416371,0.5,0.481477285600997,96.1529411764706,100,103.847058823529,100,5
0.520785467022026,0.5,0.480810023474842,96.0088235294118,100,103.991176470588,100,5
0.52156838681966,0.5,0.480144608258487,95.8647058823529,100,104.135294117647,100,5
0.522353664157321,0.5,0.479481032294458,95.7205882352941,100,104.279411764706,100,5
0.523141309699655,0.5,0.478819287967553,95.5764705882353,100,104.423529411765,100,5
0.523931334175733,0.5,0.478159367704554,95.4323529411765,100,104.567647058824,100,5
0.52472374837953,0.5,0.477501263973934,95.2882352941176,100,104.711764705882,100,5
0.525518563170423,0.5,0.476844969285574,95.1441176470588,100,104.855882352941,100,5
0.526315789473684,0.5,0.476190476190476,95,100,105,100,5
0.5,0.5,0.5,100,100,100,100,5
0.492647058823529,0.5,0.507352941176471,100,100,100,100,5
0.485294117647059,0.5,0.514705882352941,100,100,100,100,5
0.477941176470588,0.5,0.522058823529412,100,100,100,100,5
0.470588235294118,0.5,0.529411764705882,100,100,100,100,5
0.463235294117647,0.5,0.536764705882353,100,100,100,100,5
0.455882352941176,0.5,0.544117647058823,100,100,100,100,5
0.448529411764706,0.5,0.551470588235294,100,100,100,100,5
0.441176470588235,0.5,0.558823529411765,100,100,100,100,5
0.433823529411765,0.5,0.566176470588235,100,100,100,100,5
0.426470588235294,0.5,0.573529411764706,100,100,100,100,5
0.419117647058824,0.5,0.580882352941177,100,100,100,100,5
0.411764705882353,0.5,0.588235294117647,100,100,100,100,5
0.404411764705882,0.5,0.595588235294118,100,100,100,100,5
0.397058823529412,0.5,0.602941176470588,100,100,100,100,5
0.389705882352941,0.5,0.610294117647059,100,100,100,100,5
0.382352941176471,0.5,0.617647058823529,100,100,100,100,5
0.375,0.5,0.625,100,100,100,100,5
0.367647058823529,0.5,0.632352941176471,100,100,100,100,5
0.360294117647059,0.5,0.639705882352941,100,100,100,100,5
0.352941176470588,0.5,0.647058823529412,100,100,100,100,5
0.345588235294118,0.5,0.654411764705882,100,100,100,100,5
0.338235294117647,0.5,0.661764705882353,100,100,100,100,5
0.330882352941176,0.5,0.669117647058824,100,100,100,100,5
0.323529411764706,0.5,0.676470588235294,100,100,100,100,5
0.316176470588235,0.5,0.683823529411765,100,100,100,100,5
0.308823529411765,0.5,0.691176470588235,100,100,100,100,5
0.301470588235294,0.5,0.698529411764706,100,100,100,100,5
0.294117647058824,0.5,0.705882352941176,100,100,100,100,5
0.286764705882353,0.5,0.713235294117647,100,100,100,100,5
0.279411764705882,0.5,0.720588235294118,100,100,100,100,5
0.272058823529412,0.5,0.727941176470588,100,100,100,100,5
0.264705882352941,0.5,0.735294117647059,100,100,100,100,5
0.257352941176471,0.5,0.742647058823529,100,100,100,100,5
0.25,0.5,0.75,100,100,100,100,5
0.5,0.5,0.5,100,100,100,100,5
0.5,0.5,0.5,99.8529411764706,100,100.147058823529,100,5
0.5,0.5,0.5,99.7058823529412,100,100.294117647059,100,5
0.5,0.5,0.5,99.5588235294118,100,100.441176470588,100,5
0.5,0.5,0.5,99.4117647058823,100,100.588235294118,100,5
0.5,0.5,0.5,99.2647058823529,100,100.735294117647,100,5
0.5,0.5,0.5,99.1176470588235,100,100.882352941176,100,5
0.5,0.5,0.5,98.9705882352941,100,101.029411764706,100,5
0.5,0.5,0.5,98.8235294117647,100,101.176470588235,100,5
0.5,0.5,0.5,98.6764705882353,100,101.323529411765,100,5
