"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",2,0.77,0.33,0.015,13,22,22,"A",0.7,TRUE
"2","0",5,0.89,0.87,0.044,14,25,14,"A",0,TRUE
"3","0",6,0.91,0.87,0.044,14,24,29,"A",0,TRUE
"4","0",10,0.0056,0.71,0.14,28,25,28,"A",0,TRUE
"5","0",13,0.12,0.26,0.9,24,25,17,"A",0,TRUE
"6","0",22,0.97,0.75,0.079,16,26,29,"A",0.2,TRUE
"7","0",23,0.5,0.56,0.88,11,26,13,"A",0,TRUE
"8","0",24,0.19,0.086,0.89,27,21,11,"A",0.15,TRUE
"9","0",28,0.62,0.68,0.047,24,17,11,"A",0.7,TRUE
"10","0",31,0.36,0.96,0.19,19,13,30,"A",0.15,TRUE
"11","0",35,0.078,0.5,0.028,23,19,21,"A",0.1,TRUE
"12","0",36,0.025,0.86,0.33,22,17,27,"A",0,TRUE
"13","0",39,0.93,0.17,0.29,20,27,30,"A",1,TRUE
"14","0",48,0.32,0.69,0.076,16,12,16,"A",0.15,TRUE
"15","0",49,0.32,0.97,0.36,18,14,22,"A",0,TRUE
"16","1",2,0.77,0.33,0.015,13,22,22,"A",0.35,TRUE
"17","1",5,0.89,0.87,0.044,14,25,14,"A",0.5,TRUE
"18","1",6,0.91,0.87,0.044,14,24,29,"A",0.3,TRUE
"19","1",10,0.0056,0.71,0.14,28,25,28,"A",0,TRUE
"20","1",13,0.12,0.26,0.9,24,25,17,"A",0,TRUE
"21","1",22,0.97,0.75,0.079,16,26,29,"A",0.35,TRUE
"22","1",23,0.5,0.56,0.88,11,26,13,"A",0.05,TRUE
"23","1",24,0.19,0.086,0.89,27,21,11,"A",0.85,TRUE
"24","1",28,0.62,0.68,0.047,24,17,11,"A",0.25,TRUE
"25","1",31,0.36,0.96,0.19,19,13,30,"A",0.4,TRUE
"26","1",35,0.078,0.5,0.028,23,19,21,"A",0.8,TRUE
"27","1",36,0.025,0.86,0.33,22,17,27,"A",0,TRUE
"28","1",39,0.93,0.17,0.29,20,27,30,"A",0.45,TRUE
"29","1",48,0.32,0.69,0.076,16,12,16,"A",0.45,TRUE
"30","1",49,0.32,0.97,0.36,18,14,22,"A",0,TRUE
"31","0",2,0.77,0.33,0.015,13,22,22,"B",0.3,TRUE
"32","0",5,0.89,0.87,0.044,14,25,14,"B",1,TRUE
"33","0",6,0.91,0.87,0.044,14,24,29,"B",1,TRUE
"34","0",10,0.0056,0.71,0.14,28,25,28,"B",1,TRUE
"35","0",13,0.12,0.26,0.9,24,25,17,"B",0,TRUE
"36","0",22,0.97,0.75,0.079,16,26,29,"B",0.8,TRUE
"37","0",23,0.5,0.56,0.88,11,26,13,"B",0.8,TRUE
"38","0",24,0.19,0.086,0.89,27,21,11,"B",0.05,TRUE
"39","0",28,0.62,0.68,0.047,24,17,11,"B",0.3,TRUE
"40","0",31,0.36,0.96,0.19,19,13,30,"B",0.8,TRUE
"41","0",35,0.078,0.5,0.028,23,19,21,"B",0.9,TRUE
"42","0",36,0.025,0.86,0.33,22,17,27,"B",0.85,TRUE
"43","0",39,0.93,0.17,0.29,20,27,30,"B",0,TRUE
"44","0",48,0.32,0.69,0.076,16,12,16,"B",0.8,TRUE
"45","0",49,0.32,0.97,0.36,18,14,22,"B",0.75,TRUE
"46","1",2,0.77,0.33,0.015,13,22,22,"B",0.65,TRUE
"47","1",5,0.89,0.87,0.044,14,25,14,"B",0.5,TRUE
"48","1",6,0.91,0.87,0.044,14,24,29,"B",0.65,TRUE
"49","1",10,0.0056,0.71,0.14,28,25,28,"B",0.65,TRUE
"50","1",13,0.12,0.26,0.9,24,25,17,"B",0.45,TRUE
"51","1",22,0.97,0.75,0.079,16,26,29,"B",0.6,TRUE
"52","1",23,0.5,0.56,0.88,11,26,13,"B",0.35,TRUE
"53","1",24,0.19,0.086,0.89,27,21,11,"B",0,TRUE
"54","1",28,0.62,0.68,0.047,24,17,11,"B",0.75,TRUE
"55","1",31,0.36,0.96,0.19,19,13,30,"B",0.5,TRUE
"56","1",35,0.078,0.5,0.028,23,19,21,"B",0.2,TRUE
"57","1",36,0.025,0.86,0.33,22,17,27,"B",0.15,TRUE
"58","1",39,0.93,0.17,0.29,20,27,30,"B",0,TRUE
"59","1",48,0.32,0.69,0.076,16,12,16,"B",0.55,TRUE
"60","1",49,0.32,0.97,0.36,18,14,22,"B",0.25,TRUE
"61","0",2,0.77,0.33,0.015,13,22,22,"C",0,TRUE
"62","0",5,0.89,0.87,0.044,14,25,14,"C",0,TRUE
"63","0",6,0.91,0.87,0.044,14,24,29,"C",0,TRUE
"64","0",10,0.0056,0.71,0.14,28,25,28,"C",0,TRUE
"65","0",13,0.12,0.26,0.9,24,25,17,"C",1,TRUE
"66","0",22,0.97,0.75,0.079,16,26,29,"C",0,TRUE
"67","0",23,0.5,0.56,0.88,11,26,13,"C",0.2,TRUE
"68","0",24,0.19,0.086,0.89,27,21,11,"C",0.8,TRUE
"69","0",28,0.62,0.68,0.047,24,17,11,"C",0,TRUE
"70","0",31,0.36,0.96,0.19,19,13,30,"C",0.05,TRUE
"71","0",35,0.078,0.5,0.028,23,19,21,"C",0,TRUE
"72","0",36,0.025,0.86,0.33,22,17,27,"C",0.15,TRUE
"73","0",39,0.93,0.17,0.29,20,27,30,"C",0,TRUE
"74","0",48,0.32,0.69,0.076,16,12,16,"C",0.05,TRUE
"75","0",49,0.32,0.97,0.36,18,14,22,"C",0.25,TRUE
"76","1",2,0.77,0.33,0.015,13,22,22,"C",0,TRUE
"77","1",5,0.89,0.87,0.044,14,25,14,"C",0,TRUE
"78","1",6,0.91,0.87,0.044,14,24,29,"C",0.05,TRUE
"79","1",10,0.0056,0.71,0.14,28,25,28,"C",0.35,TRUE
"80","1",13,0.12,0.26,0.9,24,25,17,"C",0.55,TRUE
"81","1",22,0.97,0.75,0.079,16,26,29,"C",0.05,TRUE
"82","1",23,0.5,0.56,0.88,11,26,13,"C",0.6,TRUE
"83","1",24,0.19,0.086,0.89,27,21,11,"C",0.15,TRUE
"84","1",28,0.62,0.68,0.047,24,17,11,"C",0,TRUE
"85","1",31,0.36,0.96,0.19,19,13,30,"C",0.1,TRUE
"86","1",35,0.078,0.5,0.028,23,19,21,"C",0,TRUE
"87","1",36,0.025,0.86,0.33,22,17,27,"C",0.85,TRUE
"88","1",39,0.93,0.17,0.29,20,27,30,"C",0.55,TRUE
"89","1",48,0.32,0.69,0.076,16,12,16,"C",0,TRUE
"90","1",49,0.32,0.97,0.36,18,14,22,"C",0.75,TRUE
