"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",1,0.49,0.74,0.89,29,15,11,"A",0.75,TRUE
"2","0",7,0.68,0.75,0.31,27,11,19,"A",1,TRUE
"3","0",8,0.19,0.38,0.57,20,13,13,"A",0.05,TRUE
"4","0",9,0.047,0.074,0.83,16,21,13,"A",0.05,TRUE
"5","0",13,0.13,0.59,0.89,26,22,19,"A",0,TRUE
"6","0",14,0.036,0.11,0.36,25,22,20,"A",0,TRUE
"7","0",20,0.89,0.94,0.8,22,18,29,"A",0.35,TRUE
"8","0",22,0.72,0.56,0.58,17,29,10,"A",0.3,TRUE
"9","0",23,0.73,0.56,0.87,25,15,12,"A",1,TRUE
"10","0",28,0.89,0.91,0.98,30,22,11,"A",0.9,TRUE
"11","0",29,0.2,0.17,0.54,26,19,13,"A",0.4,TRUE
"12","0",31,0.3,0.77,0.22,28,18,18,"A",0.1,TRUE
"13","0",37,0.036,0.79,0.89,26,22,14,"A",0,TRUE
"14","0",38,0.62,0.92,0.89,29,15,17,"A",0.75,TRUE
"15","0",39,0.62,0.2,0.89,29,29,14,"A",0.95,TRUE
"16","0",48,0.68,0.11,0.45,25,11,30,"A",0.85,TRUE
"17","1",1,0.49,0.74,0.89,29,15,11,"A",0.2,TRUE
"18","1",7,0.68,0.75,0.31,27,11,19,"A",0.7,TRUE
"19","1",8,0.19,0.38,0.57,20,13,13,"A",0.15,TRUE
"20","1",9,0.047,0.074,0.83,16,21,13,"A",0,TRUE
"21","1",13,0.13,0.59,0.89,26,22,19,"A",0.1,TRUE
"22","1",14,0.036,0.11,0.36,25,22,20,"A",0.2,TRUE
"23","1",20,0.89,0.94,0.8,22,18,29,"A",0.65,TRUE
"24","1",22,0.72,0.56,0.58,17,29,10,"A",0.8,TRUE
"25","1",23,0.73,0.56,0.87,25,15,12,"A",0.75,TRUE
"26","1",28,0.89,0.91,0.98,30,22,11,"A",0.5,TRUE
"27","1",29,0.2,0.17,0.54,26,19,13,"A",0.8,TRUE
"28","1",31,0.3,0.77,0.22,28,18,18,"A",0.55,TRUE
"29","1",37,0.036,0.79,0.89,26,22,14,"A",0.05,TRUE
"30","1",38,0.62,0.92,0.89,29,15,17,"A",0.2,TRUE
"31","1",39,0.62,0.2,0.89,29,29,14,"A",0.65,TRUE
"32","1",48,0.68,0.11,0.45,25,11,30,"A",0.5,TRUE
"33","0",1,0.49,0.74,0.89,29,15,11,"B",0.2,TRUE
"34","0",7,0.68,0.75,0.31,27,11,19,"B",0,TRUE
"35","0",8,0.19,0.38,0.57,20,13,13,"B",0.05,TRUE
"36","0",9,0.047,0.074,0.83,16,21,13,"B",0.05,TRUE
"37","0",13,0.13,0.59,0.89,26,22,19,"B",0.1,TRUE
"38","0",14,0.036,0.11,0.36,25,22,20,"B",0.2,TRUE
"39","0",20,0.89,0.94,0.8,22,18,29,"B",0.05,TRUE
"40","0",22,0.72,0.56,0.58,17,29,10,"B",0.7,TRUE
"41","0",23,0.73,0.56,0.87,25,15,12,"B",0,TRUE
"42","0",28,0.89,0.91,0.98,30,22,11,"B",0.1,TRUE
"43","0",29,0.2,0.17,0.54,26,19,13,"B",0,TRUE
"44","0",31,0.3,0.77,0.22,28,18,18,"B",0.9,TRUE
"45","0",37,0.036,0.79,0.89,26,22,14,"B",0.75,TRUE
"46","0",38,0.62,0.92,0.89,29,15,17,"B",0.2,TRUE
"47","0",39,0.62,0.2,0.89,29,29,14,"B",0,TRUE
"48","0",48,0.68,0.11,0.45,25,11,30,"B",0,TRUE
"49","1",1,0.49,0.74,0.89,29,15,11,"B",0.6,TRUE
"50","1",7,0.68,0.75,0.31,27,11,19,"B",0.25,TRUE
"51","1",8,0.19,0.38,0.57,20,13,13,"B",0.2,TRUE
"52","1",9,0.047,0.074,0.83,16,21,13,"B",0.6,TRUE
"53","1",13,0.13,0.59,0.89,26,22,19,"B",0.35,TRUE
"54","1",14,0.036,0.11,0.36,25,22,20,"B",0.25,TRUE
