"","ppntid","trialid","probA","probB","probC","payoffA","payoffB","payoffC","optionchosen","propchosen","isInteresting"
"1","0",1,0.12,0.41,0.47,12,29,16,"A",0,TRUE
"2","0",6,0.43,0.87,0.25,22,17,15,"A",0.1,TRUE
"3","0",7,0.91,0.78,0.16,16,24,14,"A",0.15,TRUE
"4","0",8,0.43,0.35,0.41,12,10,19,"A",0.45,TRUE
"5","0",12,0.37,0.0043,0.17,14,22,26,"A",0.65,TRUE
"6","0",17,1,0.23,0.48,12,27,19,"A",0.9,TRUE
"7","0",18,0.43,0.71,0.41,20,10,25,"A",0.3,TRUE
"8","0",19,0.43,0.3,0.39,13,10,19,"A",0.4,TRUE
"9","0",25,0.93,0.14,0.31,12,11,16,"A",1,TRUE
"10","0",33,0.91,0.4,0.17,14,23,19,"A",0.65,TRUE
"11","0",36,0.98,0.29,0.61,14,17,19,"A",0.7,TRUE
"12","0",43,0.041,0.2,0.09,22,16,27,"A",0.05,TRUE
"13","0",44,0.25,0.47,0.26,21,18,26,"A",0,TRUE
"14","0",45,0.22,0.63,0.13,16,12,21,"A",0.15,TRUE
"15","0",49,0.88,0.93,0.55,25,19,28,"A",0.9,TRUE
"16","0",50,0.64,0.78,0.2,29,26,26,"A",0.3,TRUE
"17","1",1,0.12,0.41,0.47,12,29,16,"A",0,TRUE
"18","1",6,0.43,0.87,0.25,22,17,15,"A",0.3,TRUE
"19","1",7,0.91,0.78,0.16,16,24,14,"A",0.65,TRUE
"20","1",8,0.43,0.35,0.41,12,10,19,"A",0.7,TRUE
"21","1",12,0.37,0.0043,0.17,14,22,26,"A",0.4,TRUE
"22","1",17,1,0.23,0.48,12,27,19,"A",0.55,TRUE
"23","1",18,0.43,0.71,0.41,20,10,25,"A",0.5,TRUE
"24","1",19,0.43,0.3,0.39,13,10,19,"A",0.85,TRUE
"25","1",25,0.93,0.14,0.31,12,11,16,"A",0.6,TRUE
"26","1",33,0.91,0.4,0.17,14,23,19,"A",0.35,TRUE
"27","1",36,0.98,0.29,0.61,14,17,19,"A",0.35,TRUE
"28","1",43,0.041,0.2,0.09,22,16,27,"A",0,TRUE
"29","1",44,0.25,0.47,0.26,21,18,26,"A",0,TRUE
"30","1",45,0.22,0.63,0.13,16,12,21,"A",0.4,TRUE
"31","1",49,0.88,0.93,0.55,25,19,28,"A",0.55,TRUE
