cond,position,pA,pB,pD,vA,vB,vD
X,fixProb,0.5,0.5,0.5,97.0588235294,100,102.9411764706
X,fixProb,0.5,0.5,0.5,96.9117647059,100,103.0882352941
X,fixProb,0.5,0.5,0.5,96.7647058824,100,103.2352941176
X,fixProb,0.5,0.5,0.5,96.6176470588,100,103.3823529412
X,fixProb,0.5,0.5,0.5,96.4705882353,100,103.5294117647
X,fixProb,0.5,0.5,0.5,96.3235294118,100,103.6764705882
X,fixProb,0.5,0.5,0.5,96.1764705882,100,103.8235294118
X,fixProb,0.5,0.5,0.5,96.0294117647,100,103.9705882353
X,fixProb,0.5,0.5,0.5,95.8823529412,100,104.1176470588
X,fixProb,0.5,0.5,0.5,95.7352941176,100,104.2647058824
X,fixProb,0.5,0.5,0.5,95.5882352941,100,104.4117647059
X,fixProb,0.5,0.5,0.5,95.4411764706,100,104.5588235294
X,fixProb,0.5,0.5,0.5,95.2941176471,100,104.7058823529
X,fixProb,0.5,0.5,0.5,95.1470588235,100,104.8529411765
X,fixProb,0.5,0.5,0.5,95,100,105
