"probA","probB","probC","payoffA","payoffB","payoffC","ppntid","calc_sd","tolerance_prob","tolerance_payoff","p_err","useord","usecalc","payoffprior_mean","payoffprior_sd","choice","calcA","calcB","calcC","ABprob","ACprob","BCprob","ABpayoff","ACpayoff","BCpayoff"
0.089,0.17,0.87,25,25,17,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,3.59837259640469,4.67461122909793,14.2491005969508,"<","<","<","=",">",">"
0.089,0.17,0.87,25,25,17,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,3.00208977613125,-8.31584643984847,-33.0324864950618,"<","<","<","=",">",">"
0.73,0.25,0.03,17,30,25,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,13.4623423482374,6.72032524767513,0.388912248293865,">",">",">","=","<",">"
0.73,0.25,0.03,17,30,25,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,6.37525906987522,-11.6888058172048,13.7599866472392,">",">",">","<","<",">"
0.73,0.47,0.41,24,27,26,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,16.6888318134456,12.8701687861351,8.91362349388026,">",">",">","<","<","="
0.73,0.47,0.41,24,27,26,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,20.6813792575382,-25.2005816020466,16.3218866311436,">",">",">","<","<","="
0.73,0.13,0.58,22,21,30,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,16.1814294771436,2.24257267418305,17.6839410819016,">",">","<","=","<","<"
0.73,0.13,0.58,22,21,30,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,-11.9208250495879,30.807559631223,19.1641092310758,">","=","<","=","<","<"
0.056,0.75,0.37,13,14,22,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,0.268402644487529,9.82632860591672,7.78197514194883,"<","<",">","=","<","<"
0.056,0.75,0.37,13,14,22,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,-40.6221162739115,-21.1177448676959,25.2314724756003,"<","<",">","=","<","<"
0.65,0.73,0.76,25,11,18,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,15.93819405195,7.20171995115457,15.1942719036184,"<","<","<",">",">","<"
0.65,0.73,0.76,25,11,18,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,56.8128211979989,28.027767707055,-25.063671495158,"<","<","<",">",">","<"
0.55,0.55,0.58,26,12,14,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,14.6069415056705,6.92803847727926,7.60448949530919,"=","<","<","=",">","<"
0.55,0.55,0.58,26,12,14,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,-12.2692804288441,20.2004000276921,-9.46771198420611,"=","<","<",">",">","<"
0.028,0.5,0.97,17,20,18,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,2.04681196319644,9.82349472881933,19.0148946704518,"<","<","<","<","=",">"
0.028,0.5,0.97,17,20,18,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,-11.797049908857,31.6989617589676,20.6417932723664,"<","<","<","<","=",">"
0.5,0.43,0.74,20,28,12,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,9.95803236014143,10.3526287342384,9.94175633353809,">","<","=","<","=",">"
0.5,0.43,0.74,20,28,12,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,3,-0.42997858432892,20.9527704102737,40.385557939363,">","<","<","<",">",">"
0.91,0.87,0.96,16,26,13,0,1,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,2,15.7433061019879,23.1827279667824,13.0879665067582,">","<","<","<",">",">"
0.91,0.87,0.96,16,26,13,1,20,0.01,1.1,0.1,TRUE,TRUE,21.010101010101,6.99403606571063,1,62.4287347665856,44.7656307204975,14.5566173424106,">",">","<","<",">",">"
